name,cores,memory,storage,GPU,linux,windows,linux-low-priority,windows-low-priority,msft-r-server-linux,sql-web,sql-standard,sql-enterprise,biztalk-standard,biztalk-enterprise,oracle-java,redhat-enterprise-linux
A5,2,14.00,135,N/A,A5 VM,A5 VM (Windows),A5 VM Low Priority,A5 VM Low Priority (Windows),MSFT R Server for Linux (up to 4 c),SQL Server Web (up to 4 cores),SQL Server Standard (up to 4 cores),SQL Server Enterprise (up to 4c),BizTalk Server Standard (up to 4c),BizTalk Server Enterprise (upto 4c),Java Development Environment (2 core),Red Hat Enterprise Linux (2 core)
A6,4,28.00,285,N/A,A6 VM,A6 VM (Windows),A6 VM Low Priority,A6 VM Low Priority (Windows),MSFT R Server for Linux (up to 4 c),SQL Server Web (up to 4 cores),SQL Server Standard (up to 4 cores),SQL Server Enterprise (up to 4c),BizTalk Server Standard (up to 4c),BizTalk Server Enterprise (upto 4c),Java Development Environment (4 core),Red Hat Enterprise Linux (4 core)
A7,8,56.00,605,N/A,A7 VM,A7 VM (Windows),A7 VM Low Priority,A7 VM Low Priority (Windows),MSFT R Server for Linux (8 core),SQL Server Web (8 core),SQL Server Standard (8 core),SQL Server Enterprise (8 core),BizTalk Server Standard (8 core),BizTalk Server Enterprise (8 core),Java Development Environment (8 core),Red Hat Enterprise Linux (8 core)
A8,8,56.00,382,N/A,A8 VM,A8 VM (Windows),A8 VM Low Priority,A8 VM Low Priority (Windows),MSFT R Server for Linux (8 core),SQL Server Web (8 core),SQL Server Standard (8 core),SQL Server Enterprise (8 core),BizTalk Server Standard (8 core),BizTalk Server Enterprise (8 core),Java Development Environment (8 core),Red Hat Enterprise Linux (8 core)
A9,16,112.00,382,N/A,A9 VM,A9 VM (Windows),A9 VM Low Priority,A9 VM Low Priority (Windows),MSFT R Server for Linux (16 core),SQL Server Web (16 core),SQL Server Standard (16 core),SQL Server Enterprise (16 core),BizTalk Server Standard (16 core),BizTalk Server Enterprise (16 core),Java Development Environment (16 core),Red Hat Enterprise Linux (16 core)
A10,8,56.00,382,N/A,A10 VM,A10 VM (Windows),A10 VM Low Priority,A10 VM Low Priority (Windows),MSFT R Server for Linux (8 core),SQL Server Web (8 core),SQL Server Standard (8 core),SQL Server Enterprise (8 core),BizTalk Server Standard (8 core),BizTalk Server Enterprise (8 core),Java Development Environment (8 core),Red Hat Enterprise Linux (8 core)
A11,16,112.00,382,N/A,A11 VM,A11 VM (Windows),A11 VM Low Priority,A11 VM Low Priority (Windows),MSFT R Server for Linux (16 core),SQL Server Web (16 core),SQL Server Standard (16 core),SQL Server Enterprise (16 core),BizTalk Server Standard (16 core),BizTalk Server Enterprise (16 core),Java Development Environment (16 core),Red Hat Enterprise Linux (16 core)
A1 v2,1,2.00,10,N/A,Standard_A1_v2 VM,Standard_A1_v2 VM (Windows),Standard_A1_v2 VM Low Priority,Standard_A1_v2 VM Low Priority (Windows),MSFT R Server for Linux (up to 4 c),SQL Server Web (up to 4 cores),SQL Server Standard (up to 4 cores),SQL Server Enterprise (up to 4c),BizTalk Server Standard (up to 4c),BizTalk Server Enterprise (upto 4c),Java Development Environment (1 core),Red Hat Enterprise Linux (1 core)
A2 v2,2,4.00,20,N/A,Standard_A2_v2 VM,Standard_A2_v2 VM (Windows),Standard_A2_v2 VM Low Priority,Standard_A2_v2 VM Low Priority (Windows),MSFT R Server for Linux (up to 4 c),SQL Server Web (up to 4 cores),SQL Server Standard (up to 4 cores),SQL Server Enterprise (up to 4c),BizTalk Server Standard (up to 4c),BizTalk Server Enterprise (upto 4c),Java Development Environment (2 core),Red Hat Enterprise Linux (2 core)
A4 v2,4,8.00,40,N/A,Standard_A4_v2 VM,Standard_A4_v2 VM (Windows),Standard_A4_v2 VM Low Priority,Standard_A4_v2 VM Low Priority (Windows),MSFT R Server for Linux (up to 4 c),SQL Server Web (up to 4 cores),SQL Server Standard (up to 4 cores),SQL Server Enterprise (up to 4c),BizTalk Server Standard (up to 4c),BizTalk Server Enterprise (upto 4c),Java Development Environment (4 core),Red Hat Enterprise Linux (4 core)
A8 v2,8,16.00,80,N/A,Standard_A8_v2 VM,Standard_A8_v2 VM (Windows),Standard_A8_v2 VM Low Priority,Standard_A8_v2 VM Low Priority (Windows),MSFT R Server for Linux (8 core),SQL Server Web (8 core),SQL Server Standard (8 core),SQL Server Enterprise (8 core),BizTalk Server Standard (8 core),BizTalk Server Enterprise (8 core),Java Development Environment (8 core),Red Hat Enterprise Linux (8 core)
A2m v2,2,16.00,20,N/A,Standard_A2m_v2 VM,Standard_A2m_v2 VM (Windows),Standard_A2m_v2 VM Low Priority,Standard_A2m_v2 VM Low Priority (Windows),MSFT R Server for Linux (up to 4 c),SQL Server Web (up to 4 cores),SQL Server Standard (up to 4 cores),SQL Server Enterprise (up to 4c),BizTalk Server Standard (up to 4c),BizTalk Server Enterprise (upto 4c),Java Development Environment (2 core),Red Hat Enterprise Linux (2 core)
A4m v2,4,32.00,40,N/A,Standard_A4m_v2 VM,Standard_A4m_v2 VM (Windows),Standard_A4m_v2 VM Low Priority,Standard_A4m_v2 VM Low Priority (Windows),MSFT R Server for Linux (up to 4 c),SQL Server Web (up to 4 cores),SQL Server Standard (up to 4 cores),SQL Server Enterprise (up to 4c),BizTalk Server Standard (up to 4c),BizTalk Server Enterprise (upto 4c),Java Development Environment (4 core),Red Hat Enterprise Linux (4 core)
A8m v2,8,64.00,80,N/A,Standard_A8m_v2 VM,Standard_A8m_v2 VM (Windows),Standard_A8m_v2 VM Low Priority,Standard_A8m_v2 VM Low Priority (Windows),MSFT R Server for Linux (8 core),SQL Server Web (8 core),SQL Server Standard (8 core),SQL Server Enterprise (8 core),BizTalk Server Standard (8 core),BizTalk Server Enterprise (8 core),Java Development Environment (8 core),Red Hat Enterprise Linux (8 core)
D1,1,3.50,50,N/A,Standard_D1 VM,Standard_D1 VM (Windows),Standard_D1 VM Low Priority,Standard_D1 VM Low Priority (Windows),MSFT R Server for Linux (up to 4 c),SQL Server Web (up to 4 cores),SQL Server Standard (up to 4 cores),SQL Server Enterprise (up to 4c),BizTalk Server Standard (up to 4c),BizTalk Server Enterprise (upto 4c),Java Development Environment (1 core),Red Hat Enterprise Linux (1 core)
D2,2,7.00,100,N/A,Standard_D2 VM,Standard_D2 VM (Windows),Standard_D2 VM Low Priority,Standard_D2 VM Low Priority (Windows),MSFT R Server for Linux (up to 4 c),SQL Server Web (up to 4 cores),SQL Server Standard (up to 4 cores),SQL Server Enterprise (up to 4c),BizTalk Server Standard (up to 4c),BizTalk Server Enterprise (upto 4c),Java Development Environment (2 core),Red Hat Enterprise Linux (2 core)
D3,4,14.00,200,N/A,Standard_D3 VM,Standard_D3 VM (Windows),Standard_D3 VM Low Priority,Standard_D3 VM Low Priority (Windows),MSFT R Server for Linux (up to 4 c),SQL Server Web (up to 4 cores),SQL Server Standard (up to 4 cores),SQL Server Enterprise (up to 4c),BizTalk Server Standard (up to 4c),BizTalk Server Enterprise (upto 4c),Java Development Environment (4 core),Red Hat Enterprise Linux (4 core)
D4,8,28.00,400,N/A,Standard_D4 VM,Standard_D4 VM (Windows),Standard_D4 VM Low Priority,Standard_D4 VM Low Priority (Windows),MSFT R Server for Linux (8 core),SQL Server Web (8 core),SQL Server Standard (8 core),SQL Server Enterprise (8 core),BizTalk Server Standard (8 core),BizTalk Server Enterprise (8 core),Java Development Environment (8 core),Red Hat Enterprise Linux (8 core)
D11,2,14.00,100,N/A,Standard_D11 VM,Standard_D11 VM (Windows),Standard_D11 VM Low Priority,Standard_D11 VM Low Priority (Windows),MSFT R Server for Linux (up to 4 c),SQL Server Web (up to 4 cores),SQL Server Standard (up to 4 cores),SQL Server Enterprise (up to 4c),BizTalk Server Standard (up to 4c),BizTalk Server Enterprise (upto 4c),Java Development Environment (2 core),Red Hat Enterprise Linux (2 core)
D12,4,28.00,200,N/A,Standard_D12 VM,Standard_D12 VM (Windows),Standard_D12 VM Low Priority,Standard_D12 VM Low Priority (Windows),MSFT R Server for Linux (up to 4 c),SQL Server Web (up to 4 cores),SQL Server Standard (up to 4 cores),SQL Server Enterprise (up to 4c),BizTalk Server Standard (up to 4c),BizTalk Server Enterprise (upto 4c),Java Development Environment (4 core),Red Hat Enterprise Linux (4 core)
D13,8,56.00,400,N/A,Standard_D13 VM,Standard_D13 VM (Windows),Standard_D13 VM Low Priority,Standard_D13 VM Low Priority (Windows),MSFT R Server for Linux (8 core),SQL Server Web (8 core),SQL Server Standard (8 core),SQL Server Enterprise (8 core),BizTalk Server Standard (8 core),BizTalk Server Enterprise (8 core),Java Development Environment (8 core),Red Hat Enterprise Linux (8 core)
D14,16,112.00,800,N/A,Standard_D14 VM,Standard_D14 VM (Windows),Standard_D14 VM Low Priority,Standard_D14 VM Low Priority (Windows),MSFT R Server for Linux (16 core),SQL Server Web (16 core),SQL Server Standard (16 core),SQL Server Enterprise (16 core),BizTalk Server Standard (16 core),BizTalk Server Enterprise (16 core),Java Development Environment (16 core),Red Hat Enterprise Linux (16 core)
D1 v2,1,3.50,50,N/A,Standard_D1_v2 VM,Standard_D1_v2 VM (Windows),Standard_D1_v2 VM Low Priority,Standard_D1_v2 VM Low Priority (Windows),MSFT R Server for Linux (up to 4 c),SQL Server Web (up to 4 cores),SQL Server Standard (up to 4 cores),SQL Server Enterprise (up to 4c),BizTalk Server Standard (up to 4c),BizTalk Server Enterprise (upto 4c),Java Development Environment (1 core),Red Hat Enterprise Linux (1 core)
D2 v2,2,7.00,100,N/A,Standard_D2_v2 VM,Standard_D2_v2 VM (Windows),Standard_D2_v2 VM Low Priority,Standard_D2_v2 VM Low Priority (Windows),MSFT R Server for Linux (up to 4 c),SQL Server Web (up to 4 cores),SQL Server Standard (up to 4 cores),SQL Server Enterprise (up to 4c),BizTalk Server Standard (up to 4c),BizTalk Server Enterprise (upto 4c),Java Development Environment (2 core),Red Hat Enterprise Linux (2 core)
D3 v2,4,14.00,200,N/A,Standard_D3_v2 VM,Standard_D3_v2 VM (Windows),Standard_D3_v2 VM Low Priority,Standard_D3_v2 VM Low Priority (Windows),MSFT R Server for Linux (up to 4 c),SQL Server Web (up to 4 cores),SQL Server Standard (up to 4 cores),SQL Server Enterprise (up to 4c),BizTalk Server Standard (up to 4c),BizTalk Server Enterprise (upto 4c),Java Development Environment (4 core),Red Hat Enterprise Linux (4 core)
